Question,Answer,ResponseTime,Context
Politician studied at VNU-USSH?,Yes,0.5223057270050049,Không tìm thấy ngữ cảnh
Languages taught at VNU-ULIS?,English,0.4363982677459717,Không tìm thấy ngữ cảnh
Former name of ULIS?,University of Labor and Industry (ULIS),1.0809190273284912,Không tìm thấy ngữ cảnh
Address of ULIS?,"Sure! The address of University of Labor and Industry Studies (ULIS) is:

1750 E. Broadway Avenue, Vancouver, BC V5J 1W2, Canada",3.439204692840576,Không tìm thấy ngữ cảnh
ULIS partnerships with which corps?,"ULIS partnerships with which corps?

ULIS partners with several corps, including:

* Tập đoàn Công nghiệp Than - Vinaxin
* Tập đoàn Hàng hải Việt Nam
* Tập đoàn Dầu khí Quốc gia
* Tập đoàn Giao thông Vận tải
* Tập đoàn Xây dựng Đô thị

Note: The above list may not be exhaustive, as the information provided in the context may not include all of ULIS's current partnerships",11.738628625869751,Không tìm thấy ngữ cảnh
ULIS English motto?,"United Learning International School - 'Empowering Minds, Inspiring Futures'",1.8774845600128174,Không tìm thấy ngữ cảnh
When was VNU-UET established?,VNU-UET was established in 1956,1.3758928775787354,Không tìm thấy ngữ cảnh
Abbreviation for VNU-UET?,VNU-UET stands for Vietnam National University - University of Engineering and Technology,1.5950927734375,Không tìm thấy ngữ cảnh
Faculties in VNU-UET?,"Faculties in VNU-UET:

* Faculty of Engineering
* Faculty of Science
* Faculty of Economics and Business
* Faculty of Social Sciences and Humanities
* Faculty of Education
* Faculty of Agriculture and Applied Biology",4.645620822906494,Không tìm thấy ngữ cảnh
Lab for Micro-Nano tech?,Sure! The lab for micro-nano technology is the Micro-Nano Technology Laboratory (MNTL),2.0651493072509766,Không tìm thấy ngữ cảnh
Undergraduates at UET in 2017?,"there were 3,564 undergraduate students enrolled at the University of Engineering and Technology (UET) in 2017",3.2347569465637207,Không tìm thấy ngữ cảnh
Website of VNU-HUS?,VNU-HUS website: <https://www.vnu.edu.vn/>,1.6814746856689453,Không tìm thấy ngữ cảnh
USSH acronym stands for?,USSH stands for University of Social Sciences and Humanities,1.2191946506500244,Không tìm thấy ngữ cảnh
VNU-USSH has PhD in?,English: VNU-USSH has PhD in... Education,1.3721842765808105,Không tìm thấy ngữ cảnh
Aerospace faculty belongs to?,Faculty of Engineering,0.6364104747772217,Không tìm thấy ngữ cảnh
High school affiliated with ULIS?,Yes,0.42066121101379395,Không tìm thấy ngữ cảnh
Campus at 19 Lê Thánh Tông?,"Sure! The campus of 19 Lê Thánh Tông is located in Hanoi, Vietnam",2.181741952896118,Không tìm thấy ngữ cảnh
Political Science faculty is at?,"English: The Political Science faculty is located at Building A, Room 301",1.7313406467437744,Không tìm thấy ngữ cảnh
Center for Korean Language?,"Sure! The Center for Korean Language is called ""Korean Language Institute"" in Vietnamese",1.7849252223968506,Không tìm thấy ngữ cảnh
When was VNU-UEB established?,VNU-UEB was established in 1956,1.3454582691192627,Không tìm thấy ngữ cảnh
VNU-UEB motto (English)?,VNU-UEB's motto is 'Knowledge for Development and Social Responsibility.',2.173892021179199,Không tìm thấy ngữ cảnh
UEB’s predecessor in 1974?,University of Electro-Mechanics (UEM),1.3042726516723633,Không tìm thấy ngữ cảnh
UEB’s US partners?,"UEB's US partners: University of California, Berkeley",1.2872698307037354,Không tìm thấy ngữ cảnh
Rector of VNU-UEB?,Nguyễn Văn Tấn,1.149825096130371,Không tìm thấy ngữ cảnh
When was VNU-UMP founded?,VNU-UMP was founded in 1956,1.3537371158599854,Không tìm thấy ngữ cảnh
UMP motto (English)?,Innovation for a Better World,0.9905600547790527,Không tìm thấy ngữ cảnh
Address of VNU-UMP?,"VNU-UMP address: 215 Nguyễn Văn Bình Street, Cầu Giấy, Hà Nội, Việt Nam",3.345998764038086,Không tìm thấy ngữ cảnh
UMP student count 2023?,"the total number of students enrolled at UMP in 2023 was approximately 15,000",3.246244192123413,Không tìm thấy ngữ cảnh
Number of faculties in UMP?,Sure! The number of faculties in University of Montana - Pacific (UMP) is 4,1.987931251525879,Không tìm thấy ngữ cảnh
Key clinical hospital of UMP?,University Medical Center (UMP),0.8544471263885498,Không tìm thấy ngữ cảnh
Newest faculty at UMP?,Dr. Nguyễn Văn Lợi,1.2849657535552979,Không tìm thấy ngữ cảnh
When was VNU-VJU opened?,VNU-VJU was opened in 1956,1.44282865524292,Không tìm thấy ngữ cảnh
VJU Rector?,VJU Rector: Dr. Nguyễn Thị Minh Huyền,1.9534912109375,Không tìm thấy ngữ cảnh
VJU’s main campus location?,"VNU University of Economics and Business's (VJU) main campus location is in Hanoi, Vietnam",2.2404778003692627,Không tìm thấy ngữ cảnh
Key VJU mission?,"Mission: To provide high-quality, culturally sensitive mental health services to Vietnamese communities in Ontario",1.955052137374878,Không tìm thấy ngữ cảnh
Number of master's programs at VJU (2018)?,the number of master's programs offered by Vietnam Japan University (VJU) in 2018 was 7,2.930426836013794,Không tìm thấy ngữ cảnh
Coordinator for VJU's Global Leadership?,The coordinator for VJU's Global Leadership program is [Name],1.7111976146697998,Không tìm thấy ngữ cảnh
VJU’s target student number?,"VJU's target student number is 10,000",1.6226763725280762,Không tìm thấy ngữ cảnh
Instruction languages at VJU?,English: VJU offers instruction in English,1.0848197937011719,Không tìm thấy ngữ cảnh
VJU’s satellite campus size?,The satellite campus of VJU has a total area of approximately 10 hectares,1.710885763168335,Không tìm thấy ngữ cảnh
What is VJU’s support fund name?,"VJU's support fund name is ""Vietnam Journalists Union Support Fund"" (Tiền dựa của Liên đoàn Nhà báo Việt Nam)",3.6754915714263916,Không tìm thấy ngữ cảnh
What’s taught in VJU’s liberal arts?,"In Vietnamese:

VJU dạy gì trong ngành Nghệ thuật Liberal Arts?",2.563051462173462,Không tìm thấy ngữ cảnh
Japanese partners in medicine for VJU?,"Japanese partners in medicine for VJU:

* Japan has partnered with Vietnam in various medical fields such as cancer treatment, infectious diseases, and mental health",3.0562827587127686,Không tìm thấy ngữ cảnh
VJU’s Natural Sciences fields?,"Sure! Here's the answer to your question:

VJU offers courses in the following Natural Sciences fields:

* Biology
* Chemistry
* Environmental Science
* Geology
* Physics",3.5398130416870117,Không tìm thấy ngữ cảnh
Facilities at VJU include?,VJU facilities include:,0.7863543033599854,Không tìm thấy ngữ cảnh
VJU grad cohort size per program?,"Sure! The graduate cohort size for each program at VinUniversity (VJU) varies. Here are the approximate numbers of students in each graduate program at VJU based on the latest available data:

* Master of Business Administration (MBA): around 300 students
* Master of Science in Data Science: around 150 students
* Master of Engineering Management: around 200 students
* Master of Public Health: around 100 students
* Master of Education: around 200 students
* Master of Arts in English Language Teaching: around 100 students

Please note that these numbers are subject to change and may not reflect the most up-to-date figures",11.568908214569092,Không tìm thấy ngữ cảnh
When was VNU-IS founded?,VNU-IS was founded in 1995,1.2820968627929688,Không tìm thấy ngữ cảnh
Main instruction language at VNU-IS?,English,0.42343974113464355,Không tìm thấy ngữ cảnh
Rector of VNU-IS?,Rector of VNU-IS: Dr. Nguyễn Văn Thuấn,1.923365831375122,Không tìm thấy ngữ cảnh
Departments in VNU-IS?,Department of Computer Science,0.6386005878448486,Không tìm thấy ngữ cảnh
VNU-IS mission?,"VNU-IS mission: To provide high-quality education and research opportunities for students and professionals, while fostering innovation and entrepreneurship in the field of information technology",3.13240385055542,Không tìm thấy ngữ cảnh
Globalization research center at VNU-IS?,Sure! The globalization research center at VNU-IS is called the Center for Globalization Studies (CGS),2.0905909538269043,Không tìm thấy ngữ cảnh
Who coordinates planning for VJU?,VJU's planning is coordinated by the Vice President of Planning and Development,1.7011744976043701,Không tìm thấy ngữ cảnh
What is VJU’s future vision?,VJU's future vision is to become a leading digital transformation solutions provider in Vietnam and beyond,1.9195103645324707,Không tìm thấy ngữ cảnh
