Question,Answer,ResponseTime,Context
What major amusement park is located just outside Pittsburgh?,Kennywood,0.5639758110046387,Không tìm thấy ngữ cảnh
What famous glass skyscraper complex is located in downtown Pittsburgh?,Duoluxe Tower,0.7322273254394531,Không tìm thấy ngữ cảnh
What Pittsburgh museum is affiliated with the Smithsonian Institution?,The Carnegie Museum of Natural History,0.9431545734405518,Không tìm thấy ngữ cảnh
What river borders the Strip District in Pittsburgh?,The Allegheny River,0.8286809921264648,Không tìm thấy ngữ cảnh
What university in Pittsburgh has a dedicated School of Drama?,Carnegie Mellon University,0.8413169384002686,Không tìm thấy ngữ cảnh
What ethnic food is Pittsburgh especially known for?,Pittsburgh is especially known for its pierogies,1.1281182765960693,Không tìm thấy ngữ cảnh
What is the name of Pittsburgh’s NHL hockey team?,Penguins,0.5987157821655273,Không tìm thấy ngữ cảnh
"Which famous rapper from Pittsburgh released ""Black and Yellow""?",Wiz Khalifa,0.7391023635864258,Không tìm thấy ngữ cảnh
What color scheme is shared by all of Pittsburgh’s major sports teams?,Black and gold,0.7019314765930176,Không tìm thấy ngữ cảnh
What Pittsburgh neighborhood is home to a strong Jewish community and about 20 synagogues?,Squirrel Hill,0.7575738430023193,Không tìm thấy ngữ cảnh
What historic arena in Pittsburgh was known as “The Igloo”?,The Igloo,0.7497694492340088,Không tìm thấy ngữ cảnh
What city park in Pittsburgh has 664 acres of woodland and hiking trails?,Sure! The city park in Pittsburgh with 664 acres of woodland and hiking trails is Frick Park,2.399784564971924,Không tìm thấy ngữ cảnh
What Pittsburgh-based company is a Fortune 500 firm in the financial sector?,PNC Financial Services Group,0.8935666084289551,Không tìm thấy ngữ cảnh
Which Pittsburgh-based sports team has won six Super Bowls?,Steelers,0.6061067581176758,Không tìm thấy ngữ cảnh
What high-tech industry is Pittsburgh now known for besides healthcare?,Artificial intelligence (AI),0.8792934417724609,Không tìm thấy ngữ cảnh
Which Pittsburgh university has a dedicated institute for AI and robotics?,Carnegie Mellon University,0.9604194164276123,Không tìm thấy ngữ cảnh
What is the tallest building in Pittsburgh?,"The tallest building in Pittsburgh is the Uptown Tower, which stands at a height of 540 feet (164 meters)",2.5900745391845703,Không tìm thấy ngữ cảnh
What iconic Pittsburgh view is visible from Mount Washington?,The Monongahela Incline,1.0159165859222412,Không tìm thấy ngữ cảnh
What nonprofit arts event in Pittsburgh includes live performances and booths each summer?,The nonprofit arts event in Pittsburgh that includes live performances and booths each summer is called ArtsFest,2.193767786026001,Không tìm thấy ngữ cảnh
What architectural feature is unique to many streets in Pittsburgh neighborhoods?,Steep hillsides,0.6904528141021729,Không tìm thấy ngữ cảnh
What popular phrase is used to describe the Pittsburgh dialect?,Yinz,0.7090890407562256,Không tìm thấy ngữ cảnh
What iconic horror film genre started in Pittsburgh?,Night of the Living Dead,0.7009904384613037,Không tìm thấy ngữ cảnh
"What music genre is George Benson, a Pittsburgh native, known for?",Jazz,0.4615616798400879,Không tìm thấy ngữ cảnh
What educational science center is part of Carnegie Science Center in Pittsburgh?,"The educational science center that is part of Carnegie Science Center in Pittsburgh is called the ""Science Center.""",2.087920904159546,Không tìm thấy ngữ cảnh
"What Pittsburgh facility houses over 44,000 steps across 800 stairways?",The Andy Warhol Museum,0.76228928565979,Không tìm thấy ngữ cảnh
